,name,brand,description,details,occasion,style,subcategory_bottom,subcategory_top
247,"Spectrum Diamond, Yellow Sapphire & 18K Yellow Gold Ring",Hueb,unknown,"From the Spectrum Collection
Asymmetrical pavé open ring with yellow sapphire ovals
Diamonds, 0.47 tcw
Color, VS to SI
Clarity G-H
Yellow sapphire
18k yellow gold
Width, 1""
Made in Brazil",[],[],N/A,N/A
248,Enameled Photo Frame,Addison Ross,A refreshingly-hued enamel inlay is sure to highlight your favorite photo on this frame that can be displayed in both portrait and landscape orientation.,"Small: Accommodates a 4"" X 6"" photo
Overall: 6""W X 8""H X 1""D
Large: Accommodates a 5"" X 7"" photo
Overall: 6""W X 8""H X 1""D
Silver-plated zinc alloy/enamel
Spot clean
Imported",[],[],N/A,N/A
249,Baby Girl's Two-Piece Full-Zip Jacket & Tights Set,Adidas,This ruffled jacket is paired with comfy tights. Machine wash. Imported.JACKET,"Stand collar
Long sleeves with applied 3-Stripes
Concealed zip front
Waist angled welt pockets
Metallic logo heat transfer at chest
Ruffled hem
Polyester
TIGHTSElasticized waistband
Gathered detail at legs
Metallic logo heat transfer at side
Polyester/elastane",[],[],N/A,N/A
250,Nylon Cosmetic Pouch,Rebecca Minkoff,This utility cosmetics pouch is crafted in technical nylon.,"Top zip close
Front zip pocket
Silvertone hardware
Interior zip pocket
Nylon
Imported
SIZE9''W X 5''H X 3''D",[],[],N/A,N/A
251,Berton Chunky Hiking Sneakers,Acne Studios,Rich textures come together on these durable active runners revamped with a camo-printed platform heel.,"Suede/Polyester upper
Round toe
Lace-up vamp
Tongue logo patch
Side logo print
Back pull tab
Lined
Synthetic sole
Made in Italy
",[],[],N/A,N/A
252,Bebe Ring,Dannijo,unknown,"Composition: Oxidized Silver Plated Brass and Glass Crystal
Color: Pink
Please note the possibility of natural inclusions in gemstones
Made in the USA


Ring Face is 1"" by 0.80""",[],[],N/A,N/A
253,GG0535S-001 Square Wing Sunglasses,Gucci,unknown,"GG logo wing
Square frames
Lens width, 56mm
Bridge width, 16mm
Temple length, 135mm
Acetate
Spot clean
Made in Italy","['vacation', 'weekend']","['modern', 'classic', 'casual']",N/A,N/A
254,Good Luck Tiger Sweatshirt,Kenzo,Embroidered eye design enhances cotton long-sleeve sweatshirt.,"Crewneck
Long sleeves
Pullover style
Rib-knit trim
Embroidered chest design
Cotton
Dry clean
Made in Portugal
SIZE & FITAbout 30"" from shoulder to hem",[],[],N/A,N/A
255,Pique Polo,Rag & Bone,This classic polo is a minimalist wardrobe staple.,"Polo collar
Short sleeves
Rib-knit cuffs
Three-button placket
Cotton
Machine wash
Imported
SIZE & FITAbout 28"" from shoulder to hem",[],[],N/A,N/A
256,Perry Polar Bear,Jellycat,"Soft plush polar bear styled to look like he is chilling out, by lying down.","Polyester
Spot clean
Imported
SIZELength, 28""",[],[],N/A,N/A
257,Little Girl's & Girl's UPF 50+ Stretch Cotton Coverup,Lilly Pulitzer Kids,Blithely printed coverup cut from sun protective stretch cotton.,"Attached hood
Three-quarter sleeves
Front zip closure
Flounce hem
Cotton/spandex
Machine wash
Imported",[],[],N/A,N/A
258,Brocade Bomber Jacket,Versace,Metallic brocade weave elevates zip-front bomber jacket.,"Baseball collar
Long sleeves
Front pockets
Zip-front
Cotton lining
Nylon-polyamide/cotton
Trim: Nylon-polyamide/elastane
Dry clean
Made in Italy
SIZE & FITClassic fit
About 26"" from shoulder to hem",[],[],N/A,N/A
259,ID Wool Topcoat,Corneliani,Essential overcoat in a luxe heavyweight wool with interior zip lining.,"Notch lapel
Long sleeves with button cuffs
Button front
Interior zip front
Chest welt pocket
Waist flap pockets
Back vent
Wool
Dry clean
Made in Italy
SIZE & FITRegular fit
About 32"" from shoulder to hem",[],[],N/A,N/A
260,Wool shawl with Flora & G Rhombus Print,Gucci,unknown,"Raw-cut edges
Wool
Made in Italy
SIZE51.2""W x 51.2""L",[],[],N/A,N/A
261,Slim Untucked stretch Secret Wash shirt in organic cotton,J.Crew,"Meet the pinnacle of shirt engineering. A customer favorite since 2005, our Secret Wash shirts are now made with organic cotton that's grown without toxic chemicals or GMOs (genetically modified organisms), which means it's better for the health of the soil, the ecosystem and the people who farm it. We added Stretch on Demand for extra flex you'll only notice when you need it, and use our (proprietary) multistep wash process to achieve a soft, broken-in feel from day one.",unknown,[],[],N/A,N/A
262,North Used Slim-Fit Jeans,Acne Studios,Classic five-pocket jeans in comfortable cotton-blend designed with a modern slim-fit.,"Belt loops
Zip fly with button closure
Five-pocket style
Cotton/polyester/elastane
Dry clean
Made in Italy
SIZE & FITRise, about 9""
Inseam, about 36""",[],[],N/A,N/A
263,Cross-Back Midi Bra,G. Sport,"Sweat sessions are made sweatier (i.e., better) when you have the right workout buddy. And this ultraresilient sports bra is the one you want on your team. The midi crop hugs your rib cage, the cross-chest seams contour gracefully, the V-neck hovers between sporty and sexy, and the strappy racerback spreads the support love. But what’s truly clutch here: the innovative fabrics. Our new compression material has four-way stretch, the jersey fabric interlocks (hi, superior coverage), and the gauzy mesh lining? Miraculously sweat-wicking.  Body: 69% nylon, 31% spandex; Contrast: 100% polyesterMachine wash cold, tumble dry lowMade in USAMeasurements (from size S): 14"" chest, 14"" lengthModel is 5’10.5” with 33” bust, 24” waist, 34” hips and wearing a size XS",unknown,[],[],N/A,N/A
264,White Cacholong Three Directions Earrings,Lisa Eisner,unknown,"Composition: White Cacholong, Bronze and 14K Gold Filled Wire
Closure: 14K Gold Filled Wire Post, For Pierced Ears
Color: White
Please note the possibility of natural inclusions in gemstones
Made in the USA



Length: 1.3""
Width: 0.2""
Height: 2.9""",[],[],N/A,N/A
265,Shanya Faux Fur Pillow,Nema Home,Luxurious faux fur pillow with luscious velvet backing,"20”W x 20”H
Fur type: Faux
Polyester
Fill: Duck/down feathers
Spot clean
Made in Canada",[],[],N/A,N/A
266,Baby Girl's Stripe Knit Cotton Sweater,Elegant Baby,Cozy knit cotton long-sleeve sweater with full-length button placket.,"Crewneck
Long sleeves
Rolled cuffs
Back button placket
Includes matching padded hanger
Cotton
Machine wash
Imported",[],[],N/A,N/A
267,Waterfall Graphic Hoodie,Off-White,"This pullover displays Off-White's signature combination of a laidback silhouette with modern graphics, showing off iconic diagonal stripes at the sleeves with a vintage inspired watercolor chest graphic.","Attached drawstring hood
Long sleeves
Ribbed trim
Slip-on styling
Cotton
Machine wash
Imported
SIZE & FITAbout 29"" from shoulder to hem",[],[],N/A,N/A
268,High Box Plaid Regular-Fit Sportcoat,Brioni,unknown,"Essential cotton-blend sportcoat with tonal plaid pattern
Notch lapels
Long sleeves
Buttoned cuffs
Button front
Chest welt pocket
Waist flap pockets
Regular-fit
About 30"" from shoulder to hem
Cotton/wool/silk
Dry clean
Made in Italy",[],[],N/A,N/A
269,Pomona Ruched Leather Skirt,Acler,Acler's 'Pomona' leather skirt is fashioned with a high-waisted fit in a flattering a-line silhouette. It's finished with an asymmetrical hemline and ruching throughout for added shape. Style yours with a soft blouse loosely tucked to offset the structure.,"As featured in the Fall Winter '19 lookbook
High waist, asymmetrical hemline, fully lined
Zip fastening along back
Composition: 100% leather
Dry clean only
Imported



Model is wearing a sample size US 4
This item fits true to size
We reccomend taking your normal size",[],[],N/A,N/A
270,Summersalt® confetti sidestroke one-piece in blue,J.Crew,"Lined with festive trim, this tone-on-tone, one-shoulder swimsuit is crafted from Italian-made fabric that has superior compression and UPF 50+ sun protection (so basically, a win-win). Summersalt creates luxurious, designer-quality swimwear made to fit all women's bodies. <a href='https://www.jcrew.com/c/womens_category/brandswelove?Nloc=en&amp;Npge=1&amp;Nrpp=60&amp;N=2209998610'><u>Shop more Summersalt styles.</u></a>",unknown,[],[],N/A,N/A
271,Bastian Viper Leather Slingbacks,Acne Studios,"Acne Studios' 'Bastian Viper' slingbacks were handcrafted in Italy from supple lambskin with a patchwork design in rich earth tones and an inwardly curved heel. Their sleek profile and moderate height make them a great choice for wearing to the office. 
","Heel measure approximately 65mm/ 2.5 inches 
Slip on 
Composition: lamb leather 
Made in Italy 


Heel measures approx. 2.5"" highThis style fits true to sizeWe suggest taking your normal size","['Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['Modern', 'BusinessCasual', 'Androgynous', 'businesscasual', 'modern', 'androgynous']",N/A,N/A
272,Talay Pearl Ring,Kavant & Sharart,unknown,"Composition: 18K Yellow Gold and a South Sea Pearl
Color: 18K Yellow Gold
Please note the possibility of natural inclusions in gemstones
Imported


Ring Face: 0.87"" Long by 0.25"" Wide",[],[],N/A,N/A
273,Crewneck Wool Pullover,Vilebrequin,Wool pullover finished with striped sleeves.,"Crewneck
Long sleeves
Pullover style
Rib-knit cuffs and hem
Wool
Dry clean
Made in Italy
SIZE & FITAbout 27"" from shoulder to hem
Please note: Sizing runs small, we suggest new customers size up.",[],[],N/A,N/A
274,Little Girl's & Girl's Glitter Side-Stripe Leggings,Design History,Soft stretch leggings finished with glittery side stripes.,"Elasticized waistband
Pull-on style
Viscose/spandex
Hand wash
Imported",[],[],N/A,N/A
275,Baby's & Little Boy's Quilted Puffer Bomber Jacket,Burberry,"Stylish bomber jacket featuring a quilted puffer silhouette, cotton-jersey sleeves and logo detail at cuffs.","Ribbed stand collar
Long sleeves
Zipper front
Snap button pockets at sides
Silvertone hardware
Logo detail at sleeves
Puffer-style
Quilted detail
Cotton
Machine wash
Imported",[],[],N/A,N/A
276,Aston Check Sport Shirt,Ralph Lauren Purple Label,This streamlined button down showcases a bold grid-style check.,"Point collar
Long sleeves
Button front closure
Button barrel cuffs
Shirttail hem
Cotton/elastane
Machine wash
Made in Italy
SIZE & FITAbout 31.5"" from shoulder to hem",[],[],N/A,N/A
277,Love 85 suede pumps,Jimmy Choo,Heel measures approximately 85mm/ 3.5inches Antique-rose suede (Calf) Slip on Made in Italy,"Fits true to size, take your normal size 
Italian sizing
","['NightOut', 'nightout', 'Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['romantic', 'glam', 'Modern', 'BusinessCasual', 'classic', 'Classic', 'Androgynous', 'businesscasual', 'modern', 'Romantic', 'Glam', 'androgynous']",N/A,N/A
278,Women's SUPER by RetroSuperFuture® Limone sunglasses,J.Crew,"These '70s-inspired frames feature square lenses and a pretty all-over lilac shade we adore. Founded in Italy in 2007, SUPER has developed a dedicated following for its eclectic collection of colorful acetate sunglasses&mdash;and we can see why.",unknown,[],[],N/A,N/A
279,Starter Basketball Vest,Acne Studios,Retro-inspired numeric basketball vest with contrast stripe accents and large logo patches on back.,"Roundneck
Sleeveless
Pullover style
Logo patches
Polyester/cotton
Machine wash
Imported
SIZE & FITAbout 30"" from shoulder to hem",[],[],N/A,N/A
280,ARAN HAT,Rag & Bone,"A pompom cable knit beanie knit from recycled merino. Length 12 1/2"", width 8 3/4"" 55% extrafine merino wool, 45% recycled polyester Dry clean only Imported Recycled merino cable beanie Cables and knit bobble",unknown,[],[],N/A,N/A
281,Aquaracer 41MM Stainless Steel & Black Aluminum Quartz Bracelet Watch,TAG Heuer,From the Aquaracer Collection. An extreme diver watch finished in fine-brushed stainless steel.,"Quartz movement
Scratch-resistant sapphire crystal
Unidirectional rotating bezel
Crown protector
Black gloss dial
Faceted indices with green and blue luminescent
Date indicator at 3 o'clock
Second hand
Stainless steel case and link bracelet
Deployant clasp closure
Made in Switzerland
FEATURESWater",[],[],N/A,N/A
282,Monte Carlo Rose Gold Mini Travel Case,Stephanie Johnson,"Carry vitamins, small earrings or any number of tiny treasures in this miniature travel case. Including a zippered slip lid pocket and a removable plastic carrier, this velvet-lined wonder protects what you hold dear. This versatile piece can be used with or without the plastic case, which features six separate compartments for storing and separating small items. The luxe velvet lining and zippered lid pocket provide additional ways to organize your belongings with added protection.","4.5""W x 3.5""H x",[],[],N/A,N/A
283,LoubiGraffiti Nail Color,Christian Louboutin,"WHAT IT ISChristian Louboutin Beauty presents LoubiGraffiti, the color-drenched limited-edition collection that celebrates spring in the city. Inspired by the extravagant graffiti looks of Maison Christian Louboutin’s LoubiGraf collection, LoubiGraffiti will spice up your lips and nails with its audacious street style. Formulated without Toluene, Formaldehyde, or DBP. 0.4 oz. Made in USA.WHAT IT DOESThis long-wearing, chip resistant formula is highly pigmented w","WHAT IT ISChristian Louboutin Beauty presents LoubiGraffiti, the color-drenched limited-edition collection that celebrates spring in the city. Inspired by the extravagant graffiti looks of Maison Christian Louboutin’s LoubiGraf collection, LoubiGraffiti will spice up your lips and nails with its audacious street style. Formulated without Toluene, Formaldehyde, or DBP. 0.4 oz. Made in USA.WHAT IT DOESThis long-wearing, chip resistant formula is highly pigmented w",[],[],N/A,N/A
284,Khiva silk-satin camisole,Le Kasha,Beige silk-satin  Slips on 100% silk Dry clean Made in France,"Fits true to size, take your normal size 
Those with a large bust may wish to take the next size up
Designed for a loose fit
Lightweight, non-stretchy fabric
Model is 177cm/ 5'10"" and is wearing a size XSmall",[],[],N/A,N/A
285,Originals High-Rise Ankle Crop skinny jeans,RE/DONE,"Light-blue denim  Partially concealed button fastenings along front  96% cotton, 3% polyester, 1% elastane  Machine wash  Designer wash: Mid '80s","Fits true to size, take your normal size 
High-rise, cut for a skinny fit 
Cropped length
Mid-weight, slightly stretchy fabric
Model is 175cm/ 5'9"" and is wearing a size 26",[],[],N/A,N/A
286,Navid Logo-Neck T-Shirt,Acne Studios,unknown,"Minimalist crew tee with a bold logo embroidered neck
Crewneck
Short sleeves
Ribbed trim
Cotton
Dry clean
Made in Italy",[],[],N/A,N/A
287,KIKI FUNNEL NECK,Rag & Bone,"Funnel and fold—a chunky, lambswool sweater in a zebra pattern with a voluminous, funnel neck that folds over. High point shoulder 25 1/4"" Model is 5'10.5"" wearing a size small Chunky Lambswool 69% wool, 25% polyamide, 6% alpaca Dry clean Zebra pattern all over, with pop color tipping detail on neck trim, cuffs and pop color rail road stitch on the inside seam and sleeve's inseam Imported",unknown,[],[],N/A,N/A
288,Diorskin Forever Extreme Control,Dior,"Perfect matte powder makeup extreme wear, pore-refining effect oil control the longwear, pore-refining & oil-controlling powder compact foundation by Dior a longwear compact foundation that provides medium to full coverage with an extreme matte finish. The formula can be used alone or as a touch-up throughout the day. Control oil, minimize pores and smooth the complexion with no compromise to comfort and all day wear. Shine is instantly mattified and day after day pores become less visible. Extreme ma","Perfect matte powder makeup extreme wear, pore-refining effect oil control the longwear, pore-refining & oil-controlling powder compact foundation by Dior a longwear compact foundation that provides medium to full coverage with an extreme matte finish. The formula can be used alone or as a touch-up throughout the day. Control oil, minimize pores and smooth the complexion with no compromise to comfort and all day wear. Shine is instantly mattified and day after day pores become less visible. Extreme ma",[],[],N/A,N/A
289,Puro Side Plate,Juliska,"Dish up a side of understated beauty with this tidy little plate that lives up to its name, and is the perfect neutral palette to serve up everything from delicate confections at teatime to savory tapas at cocktail hour.","7""DIA
Ceramic stoneware
Microwave, oven, freezer & dishwasher safe
Imported",[],[],N/A,N/A
290,Logo Underlay Distressed Skinny-Fit Jeans,Fendi,unknown,"Cotton-blend jeans adorned with distressed design
Belt loops
Zip fly with button closure
Five-pocket style
Rise, about 10""
Inseam, about 32""
Leg opening, about 12.5""
Cotton/leather
Machine wash
Made in Italy",[],[],N/A,N/A
291,Classic 18K Yellow Gold Double-Band Ring,Roberto Coin,unknown,"From the Classic Gold Collection
Sleek double-band design with gleaming finish
18k yellow gold
Signature synthetic ruby detail at underside
Made in Italy",[],[],N/A,N/A
292,Prince of Wales Check Straight-Leg Wool Pants,Givenchy,Givenchy's lightly pleated pants are crafted from crisp wool and fall to a tapered straight-leg fit. Their classic Prince of Wales checkered print pairs beautifully with a simple tucked-in tee and chic flats. ,"Belt loops, side pockets, back slit pocket, unlined
Concealed hook and zip fastening at front
Composition: wool
Dry clean
Color: Black 
Made in France


This style fits true to sizeWe suggest taking your normal size
Model measurements: height 5'9""/175cm - bust 32""/81.2cm - waist 24""/60.96cm - hip 34""/86.36cmShe is wearing size FR 36","['Work', 'daytonight', 'DaytoNight', 'work']","['Modern', 'BusinessCasual', 'Androgynous', 'businesscasual', 'modern', 'androgynous']",Pants&Leggings,N/A
293,Pegasus Track Pants,Acne Studios,"Ultra-sporty, lined nylon track pants exude athleisure appeal.","Elasticized waistband
Pull-on style
Waist welt pockets
Elasticized cuffs
Back welt pockets
Lined
Nylon
Dry clean
Imported
SIZE & FITRelaxed fit
Inseam, about 30""",[],[],N/A,N/A
294,Cortessa Tight Cropped Knit Top,Baum und Pferdgarten,unknown,"As featured in the Pre Fall '20 lookbook; pair with the brand's pastel crepe wide leg pants for a transitional Spring look
V-neck, knit, spaghetti straps, unlined
Slip on
Composition: 50% tencel 50% polyester
Dry clean
Imported



Model is wearing a sample size S
This style fits true to size
We suggest taking your normal size","['Work', 'daytonight', 'work', 'DaytoNight', 'Weekend', 'weekend']","['Casual', 'BusinessCasual', 'Classic', 'classic', 'casual', 'businesscasual']",N/A,CropTop
295,COLLECTION Micro Houndstooth Wool Suit,Saks Fifth Avenue,ONLY AT SAKS. Handsome wool suit with a sophisticated micro-houndstooth weave. Wool. Dry clean. Made in Canada.JACKET,"Notch lapels
Long sleeves
Buttoned cuffs
Two-button front
Chest welt pocket
Front flap pockets
PANTSZip fly with button closure
Side slash pockets
Back welt pockets
SIZE & FITAbout 30"" from shoulder to hem
Rise, about 10""
Inseam, about 33",[],[],N/A,N/A
296,Traveller Windmate Hooded Jacket,Loro Piana,unknown,"On-trend hooded jacket ideal for any rainy or cold weather
Attached hood
Long sleeves
Buttoned cuffs
Concealed front zip with snap button closure
Chest flap patch pockets
Waist flap pockets
Lined
Polyester
Made in Italy",[],[],N/A,N/A
297,Baby Boy's Colorful Monster Truck Footie,Hatley,Multicolor monster trucks lends cuteness to footie,"Striped crewneck
Long sleeves
Striped rib-knit cuffs
Zip front with snap tab-button closure
Cotton
Machine wash
Imported",[],[],N/A,N/A
298,Classic Rose Gold & Stainless Steel Bracelet Watch,Movado,unknown,"Marbled blue face modernizes classic timepiece
Swiss quartz movement
Water resistant to 3 ATM
Sapphire crystal
Round rose gold PVD-finished case, 28mm (1.10”)
Blue dial with rose gold Movado dot
Stainless steel and rose gold PVD-finished link bracelet
Deployment clasp
Imported",[],[],N/A,N/A
299,Boy's Distressed Slim-Fit Jeans,DL1961 Premium Denim,"Edgy in design, this tapered jeans showcase understated rips.","Belt loops
Five-pocket style
Zip fly with button closure
Cotton/polyester/lycra
Machine wash
Imported",[],[],N/A,N/A
300,Onia Isabella one-piece swimsuit in seersucker,J.Crew,"This colorful seersucker suit by Onia is crafted from a woven blend of poly, nylon and spandex that feels soft and dries fast. Details like vertical seams and corset-like molding create a universally flattering fit. A travel-inspired brand that sources innovative, high-performance fabrics, Onia specializes in modern, luxury pieces that are crafted for fit, function and form. <a href='https://www.jcrew.com/c/mens_category/brandswelove/brand-onia-swim'><u>Shop more Onia styles.</u></a>",unknown,[],[],N/A,N/A
301,ASLEN LOAFER MULE,Rag & Bone,"Your shoe for the season - a square toed loafer heel that works well with everything from jeans to dresses. 1"" Heel 100% Embossed cow leather apron, 100% Goat leather, stacked leather wrapped heel, leather sole and rubber forefoot Professionally Leather Clean Square toe loafer with rubber forefoot pod Mule Fits true to size Imported",unknown,[],[],N/A,N/A
302,Paco Cotton-Blend Trousers,Acne Studios,Essential cotton stretch pants in a modern fit with elasticized waist for all-day comfort.,"Elasticized waist
Faux fly
Pull-on style
Side slash pockets
Back welt pockets
Cotton/elastane
Dry clean
Imported
SIZE & FITInseam, about 30.5",[],[],N/A,N/A
303,Detachable Two-Way Trench Coat,YCH,unknown,"As featured on the Spring Summer '20 runway; pair with neon flip flops or square toed slides to mirror runway styling
Hooded, open at front, pockets, unlined
Slip on
Composition: fabric 1: 70% acrylic, 30% viscose; fabric 2: 100% polyester
Dry clean only
Imported



Model is wearing a sample size EU 38
This style fits true to size
We suggest taking your normal size",[],[],N/A,N/A
304,Medallion Silk Tie,Eton,unknown,"Eye-catching textured medallions cover silk tie
Width, about 3”
Silk
Dry clean
Made in Italy",[],[],N/A,N/A
305,Matte Nature Lip Maestro,Giorgio Armani,"WHAT IT ISIntroducing Lip Maestro Matte Nature Collection- Giorgio Armani’s most iconic liquid lip color, now in a diverse palette of earth inspired nudes to achieve your most natural, velvety-matte lip. 0.22 oz. Made in France.WHAT IT DOESThis next generation formula imparts an intense depth of color, while giving lips ultimate comfort & a silky, rich-looking finish. Lips appear instantly plumped and radiant, while a non-sticky texture offers 8-hours of hyd","WHAT IT ISIntroducing Lip Maestro Matte Nature Collection- Giorgio Armani’s most iconic liquid lip color, now in a diverse palette of earth inspired nudes to achieve your most natural, velvety-matte lip. 0.22 oz. Made in France.WHAT IT DOESThis next generation formula imparts an intense depth of color, while giving lips ultimate comfort & a silky, rich-looking finish. Lips appear instantly plumped and radiant, while a non-sticky texture offers 8-hours of hyd",[],[],N/A,N/A
306,Baby Boy's Dino Herd Coverall,Hatley,Cozy coverall with an array of adorable cartoon dianosaurs.,"Striped crewneck
Long sleeves
Striped rib-knit cuffs
Zip front with snap tab-button closure
Cotton
Machine wash
Imported",[],[],N/A,N/A
307,Oversize Technical Jersey Hoodie,Gucci,unknown,"Black technical jersey
Interlocking G embroidery
Fixed hood
Long sleeves
Zip closure
Zip pockets
Elbow pad details with reflective jersey piping at the back sleeve
Elastic detail at the cuffs and waistband
Oversize fit
About 28"" from shoulder to hem
Polyester/cotton
Dry clean
Made in Italy",[],[],N/A,N/A
308,Club Logo Hoodie,Reigning Champ,Raised logo embroidery adorns this relaxed hoodie.,"Attached drawstring hood
Long sleeves
Rib-knit cuffs and hem
Pullover style
Front kangaroo pouch
Cotton
Machine wash
Made in Canada
SIZE & FITAbout 28"" from shoulder to hem",[],[],N/A,N/A
309,Irving Flannel Button-Down Shirt,Theory,Classic grid pattern defines button-down made from a lightweight flannel fabric.,"Point collar
Long sleeves
Button cuffs
Button front
Shirttail hem
Cotton
Dry clean
Imported
SIZE & FITAbout 30"" from shoulder to hem",[],[],N/A,N/A
310,Ryder Solid Cotton Pants,Acne Studios,Fitted pants constructed in rich stretch cotton featuring a straight leg cut.,"Elasticated waist
Pullover style
Seam pockets
Back slip pocket
Cotton/elastane
Dry clean
Made in Italy
SIZE & FITRise, about 10""
Inseam, about 36""",[],[],N/A,N/A
311,Leo Waist Tie Jumpsuit,MATÉRIEL,unknown,"As seen in the SS20 lookbook; pair with relaxed sandals and simple jewelry
Cut for a slim fit, halter jumpsuit, attached belt, unlined
Zip fastening
Composition: 100% viscose
Dry clean only
Imported


Samples Size S",[],[],N/A,N/A
312,Kenya Textured Rug,Safavieh,"Add a well-traveled look to any room with artfully detailed Kenya collection rugs. Hand-knotted in un-dyed natural shades or vibrant colors, the layers of texture in these tribal designs are achieved with thick, over-stitched cut pile yarns.","6'W x 9'L
Wool/cotton
Imported",[],[],N/A,N/A
313,Little Girl's Liza Floral Dress,Egg Baby,Easy shift dress blithely printed with tropical fish and coral motifs.,"Roundneck
Sleeveless
Pullover style
Cotton/modal/spandex
Machine wash
Imported",[],[],N/A,N/A
314,Tonal Plaid Wool Single-Breasted Suit,Emporio Armani,"Boasting a dapper single-breasted silhouette, this suit features an understated plaid pattern. Wool. Dry clean. Imported.JACKET","Notch lapels
Long sleeves
Buttoned cuffs
Button front
Chest welt pocket
Waist flap pockets
Dual back vents
About 30"" from shoulder to hem
PANTSZip fly with button closure
Side and back pockets
Rise, about 10""
Inseam, about 32""",[],[],N/A,N/A
315,Wool-Blend Coat,A.P.C.,This structured coat features a straight silhouette and is crafted from a warm wool-blend fabrication.,"Notched collar
Long sleeves
Button closure
Waist flap pockets
Lined
Wool/polyester/polyamide
Dry clean
Imported
SIZE & FITAbout 37"" from shoulder to hem",[],[],N/A,N/A
316,Adam Selman x Le Specs Luxe 142MM The Scandal Black Sunglasses,Le Specs Luxe,unknown,"From the Adam Selman x Le Spec Luxe Collection
Sculpted cat eye frames with retro-inspired shape
142mm lens width; 20mm bridge width; 145mm temple length
Smoke mono lenses
Case, cleaning cloth and solution included
Metal/plastic
Imported",[],[],N/A,N/A
317,Sakari Check Flannel Shirt,Acne Studios,"Faded with a graffiti check design, this quilted flannel shirt is edgy in essence.","Spread collar
Long sleeves
Buttoned barreled cuffs
Button front
Chest patch pocket
Waist welt pockets
Shirttail hem
Fully lined
Cotton/elastane
Fill: Polyester
Dry clean
Imported
SIZE & FITAbout 31"" from shoulder to hem",[],[],N/A,N/A
318,Alchimie 24K Gold Bowl,L'Objet,"Give a refined look to your décor with this 24K bowl from the Alchimie collection. Plated with a unique reactive 24K gold finish, this bowl emits a subtle pleasing glow that enthralls your spirit.","9""D x 5""H
Earthenware 24K gold
Hand wash
Imported",[],[],N/A,N/A
319,Fuchsia Maharajah Rouge d'Armani Couture Lipstick,Giorgio Armani,"The Maharajah Collection is a reinterpretation of the delicate embroideries & impressive jewels of India. A collection of fuchsias created especially by International Creative Director, Linda Cantello, featuring at its heart a Giorgio Armani Signature Shade: Maharajah - The Armani Fuchsia. Each shade range represents a different universe of fuchsia, each with its own elegance. Made in France.Ask the experts. Our Beauty Advisors are here to help. Send an email to ","The Maharajah Collection is a reinterpretation of the delicate embroideries & impressive jewels of India. A collection of fuchsias created especially by International Creative Director, Linda Cantello, featuring at its heart a Giorgio Armani Signature Shade: Maharajah - The Armani Fuchsia. Each shade range represents a different universe of fuchsia, each with its own elegance. Made in France.Ask the experts. Our Beauty Advisors are here to help. Send an email to ",[],[],N/A,N/A
320,Astor Place,Bond No. 9 New York,"ONLY AT SAKS.COM. Bond No. 9 New York. Inspired by New York's most vibrant arts-and-style intersection. The scent is an intoxicating, fresh spring floral that starts out with a bold and seductive freesia-poppy-violet leaf composition, and then simmers down into the smooth, steady notes of teakwood and musk. It's reminiscent of downtown with a lot of grace. The surface design of the flacon echoes the angles and cubes of the Rosenthal sculpture in a rich array of colors. Art abounds on Astor Place -- and no","ONLY AT SAKS.COM. Bond No. 9 New York. Inspired by New York's most vibrant arts-and-style intersection. The scent is an intoxicating, fresh spring floral that starts out with a bold and seductive freesia-poppy-violet leaf composition, and then simmers down into the smooth, steady notes of teakwood and musk. It's reminiscent of downtown with a lot of grace. The surface design of the flacon echoes the angles and cubes of the Rosenthal sculpture in a rich array of colors. Art abounds on Astor Place -- and no",[],[],N/A,N/A
321,Ping Panda Plush Bear,Steiff,"Measuring an impressive 33"" long, this plush bear is big enough to sit or lay on, and is perfect for snuggling in front of the TV or hugging close at bedtime. Made of super soft fur, he sports brown foot pads and a big friendly eyes.Stainless steel button with Steiff Worldwide yellow tag on ear","Polyester
Machine wash
Imported
SIZING33""W x 31""H x 12""D",[],[],N/A,N/A
322,Linen-Blend Two-Button Blazer,Emporio Armani,Essential sportscoat with notch lapels and contrast buttons.,"Notch lapels
Long sleeves
Buttoned cuffs
Two-button front
Waist flap pockets
Dual back vents
Lyocell/linen/polyester/polyurethane
Dry clean
Imported
SIZE & FITTailored fit
About 30"" from shoulder to hem",[],[],N/A,N/A
323,Logo Tee,Acne Studios,Structured cotton tee with signature logo front.,"Crewneck
Short sleeves
Pullover style
Cotton
Machine wash
Made in Portugal
SIZE & FITStructured fit
About 26'' from shoulder to hem",[],[],N/A,N/A
324,Little Girl's Crinkle Velvet Sweatshirt Dress,Splendid,Ruching at the sleeves enhances the crinkle velvet finish on this sweet sweatshirt dress.,"Crewneck
Long raglan sleeves
Back keyhole button closure
Rayon/nylon
Machine wash
Imported",[],[],N/A,N/A
325,Somerset Down Pillow/Queen,SFERRA,"Experience the luxury of a good night's sleep, with this plush, cozy goose down pillow encased in a finespun cotton sateen cover.","Decorative piped edge
15-inch baffled construction
20"" X 30""
100% Polish goose down fill
100% German cotton sateen down-proof cover
700+ fill power
Machine wash
Made in USA",[],[],N/A,N/A
